// sphere center_x center_y center_z radius object_color_r object_color_g object_color_b light_color_r light_color_g light_color_b ambient diffuse specular reflection refraction refractive_index
sphere 2.5 10 5 2 150 0 0 255 0 0 0.2 0.6 0.4 0.5 0.2 1.3
sphere 3.2 6.4 13 2.5 0 150 0 0 255 0 0.2 0.6 0.4 0.5 0.2 1.3
sphere 9.6 6.4 13 2.5 0 0 150 0 0 255 0.2 0.6 0.4 0.5 0.2 1.3
// parallelogram vertex_x vertex_y vertex_z u_x u_y u_z v_x v_y v_z object_color_r object_color_g object_color_b light_color_r light_color_g light_color_b ambient diffuse specular reflection refraction refractive_index
parallelogram 0 0 -3 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 0 0 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 0 3 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 0 6 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 0 9 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 0 12 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 -3 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 0 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 3 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 6 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 9 0 0 3 0 12.8 0 128 128 128 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 12.8 0 12 0 0 3 0 12.8 0 200 200 200 50 50 50 0.2 0.6 0.3 0.8 0.5 1
parallelogram 0 12.8 -3 0 0 30 12.8 0 0 50 50 50 50 50 50 0.2 0.6 0.3 0.8 0.5 1
// parallelogram 0 0 -3 0 0 30 12.8 0 0 100 100 100 50 50 50 0.2 0.6 0.3 0.8 0.5 1
// triangle vertex_x vertex_y vertex_z u_x u_y u_z v_x v_y v_z object_color_r object_color_g object_color_b light_color_r light_color_g light_color_b ambient diffuse specular reflection refraction refractive_index
triangle 1 10 10 0 1 0 1 0 -5 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 2 10 10 0 1 0 1 0 -3 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 3 10 10 0 1 0 1 0 -1 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 4 10 10 0 1 0 1 0 0 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 5 10 10 0 1 0 1 0 1 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 6 10 10 0 1 0 1 0 3 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
triangle 7 10 10 0 1 0 1 0 5 255 55 55 255 150 150 0.2 0.6 0.4 0.5 0.2 1
